Rede;Etapa;Componente Curricular;Escola;Previstos;Avaliados;% Participação;Acerto Total;Muito baixo;Baixo;Médio;Alto;H 01 (%);H 02 (%);H 03 (%);H 04 (%);H 05 (%);H 06 (%);H 07 (%);H 08 (%);H 09 (%);H 10 (%);H 11 (%);H 12 (%)
PÚBLICA;ENSINO FUNDAMENTAL DE 9 ANOS - 9º ANO;CIÊNCIAS DA NATUREZA;COLEGIO MUNICIPAL DOUTOR SCIPIAO TORRES - 29023270;118;85;72%;42%;13%;56%;27%;4%;43;41;37;35;46;35;56;57;54;36;26;34
MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 9º ANO;CIÊNCIAS DA NATUREZA;COLEGIO MUNICIPAL DOUTOR SCIPIAO TORRES - 29023270;118;85;72%;42%;13%;56%;27%;4%;43;41;37;35;46;35;56;57;54;36;26;34
PÚBLICA;ENSINO FUNDAMENTAL DE 9 ANOS - 9º ANO;CIÊNCIAS DA NATUREZA;COLEGIO MUNICIPAL PROFESSOR IVO BRAGA - 29023262;83;68;82%;52%;9%;44%;28%;19%;52;54;44;36;57;50;59;65;66;38;45;54
MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 9º ANO;CIÊNCIAS DA NATUREZA;COLEGIO MUNICIPAL PROFESSOR IVO BRAGA - 29023262;83;68;82%;52%;9%;44%;28%;19%;52;54;44;36;57;50;59;65;66;38;45;54
PÚBLICA;ENSINO FUNDAMENTAL DE 9 ANOS - 9º ANO;CIÊNCIAS DA NATUREZA;ESCOLA MUNICIPAL ANTONIO RIBEIRO DOS SANTOS - 29378842;93;87;94%;59%;5%;34%;40%;21%;60;60;41;40;62;55;70;73;70;57;53;67
MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 9º ANO;CIÊNCIAS DA NATUREZA;ESCOLA MUNICIPAL ANTONIO RIBEIRO DOS SANTOS - 29378842;93;87;94%;59%;5%;34%;40%;21%;60;60;41;40;62;55;70;73;70;57;53;67
PÚBLICA;ENSINO FUNDAMENTAL DE 9 ANOS - 9º ANO;CIÊNCIAS DA NATUREZA;ESCOLA MUNICIPAL BARNABE HIPOLITO DA CRUZ - 29023491;25;25;100%;45%;12%;48%;40%;0%;46;50;48;36;54;26;60;44;48;34;34;54
MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 9º ANO;CIÊNCIAS DA NATUREZA;ESCOLA MUNICIPAL BARNABE HIPOLITO DA CRUZ - 29023491;25;25;100%;45%;12%;48%;40%;0%;46;50;48;36;54;26;60;44;48;34;34;54
PÚBLICA;ENSINO FUNDAMENTAL DE 9 ANOS - 9º ANO;CIÊNCIAS DA NATUREZA;ESCOLA MUNICIPAL CORACAO DE JESUS - 29024269;21;20;95%;36%;15%;85%;0%;0%;40;38;18;30;25;35;35;47;40;50;40;30
MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 9º ANO;CIÊNCIAS DA NATUREZA;ESCOLA MUNICIPAL CORACAO DE JESUS - 29024269;21;20;95%;36%;15%;85%;0%;0%;40;38;18;30;25;35;35;47;40;50;40;30
