Rede;Ano Escolar;Componente Curricular;Escola;Turma;Previstos;Avaliados;% Participação;Acerto Total;Muito baixo;Baixo;Médio;Alto;H 01 (%);H 02 (%);H 03 (%);H 04 (%);H 05 (%);H 06 (%);H 07 (%);H 08 (%);H 09 (%);H 10 (%);H 11 (%);H 12 (%)
MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 9º ANO;CIÊNCIAS DA NATUREZA;ESCOLA MUNICIPAL SANTA RITA - 29361214;9 ANO;15;15;100%;66%;0%;13%;53%;33%;77;53;70;73;80;17;73;69;83;73;63;47
MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 9º ANO;CIÊNCIAS DA NATUREZA;ESCOLA MUNICIPAL OTAVIANO MATOS - 29023955;9 ANO;20;19;95%;45%;5%;58%;37%;0%;37;61;34;44;58;32;47;42;71;37;34;42
MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 9º ANO;CIÊNCIAS DA NATUREZA;ESCOLA MUNICIPAL JOSE CARLOS ALELUIA - 29024404;9 ANO A;27;27;100%;48%;7%;48%;37%;7%;63;43;41;28;52;39;52;41;78;65;37;48
MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 9º ANO;CIÊNCIAS DA NATUREZA;ESCOLA MUNICIPAL JOSE CARLOS ALELUIA - 29024404;9 ANO B;24;23;96%;45%;4%;74%;17%;4%;37;52;11;43;17;20;70;62;72;37;41;61
MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 9º ANO;CIÊNCIAS DA NATUREZA;ESCOLA MUNICIPAL LIBERATO FELIX MARTINS - 29361591;9 ano;7;7;100%;34%;14%;86%;0%;0%;57;57;29;14;43;29;24;33;57;29;29;29
MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 9º ANO;CIÊNCIAS DA NATUREZA;COLEGIO MUNICIPAL DOUTOR SCIPIAO TORRES - 29023270;9º  ANO B 2026;25;14;56%;35%;21%;64%;14%;0%;32;32;21;26;43;25;45;48;50;39;18;32
MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 9º ANO;CIÊNCIAS DA NATUREZA;ESCOLA MUNICIPAL CORACAO DE JESUS - 29024269;9º ANO;21;20;95%;36%;15%;85%;0%;0%;40;38;18;30;25;35;35;47;40;50;40;30
MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 9º ANO;CIÊNCIAS DA NATUREZA;ESCOLA MUNICIPAL BARNABE HIPOLITO DA CRUZ - 29023491;9º ANO;25;25;100%;45%;12%;48%;40%;0%;46;50;48;36;54;26;60;44;48;34;34;54
MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 9º ANO;CIÊNCIAS DA NATUREZA;ESCOLA MUNICIPAL PROFESSORA MARIA JULIA - 29023408;9º ANO;7;7;100%;47%;14%;57%;29%;0%;36;57;29;43;64;29;71;76;43;36;43;7
MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 9º ANO;CIÊNCIAS DA NATUREZA;ESCOLA MUNICIPAL JOAO FRANCISCO FELIX - 29023289;9º ANO 2026;13;13;100%;46%;8%;62%;31%;0%;54;54;23;49;35;19;56;44;54;54;35;65
MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 9º ANO;CIÊNCIAS DA NATUREZA;ESCOLA MUNICIPAL ANTONIO RIBEIRO DOS SANTOS - 29378842;9º ANO A;30;30;100%;56%;3%;47%;43%;7%;65;60;52;37;38;35;71;74;87;47;35;63
MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 9º ANO;CIÊNCIAS DA NATUREZA;COLEGIO MUNICIPAL DOUTOR SCIPIAO TORRES - 29023270;9º ANO A 2026;34;25;74%;57%;0%;28%;64%;8%;64;54;66;48;50;50;77;75;66;46;44;26
