Escola;Previstos;Avaliados;% Participação;Nota média;Inadequado;Insuficiente;Insatisfatório;Intermediário;Satisfatório;Avançado;Questão 1 - Aspecto 1;Questão 1 - Aspecto 2;Questão 1 - Aspecto 3
COLEGIO MUNICIPAL DOUTOR SCIPIAO TORRES - 29023270;118;77;65%;5.0;12%;14%;21%;9%;22%;22%;5.0;4.9;5.0
COLEGIO MUNICIPAL DOUTOR SCIPIAO TORRES - 29023270;118;77;65%;5.0;12%;14%;21%;9%;22%;22%;5.0;4.9;5.0
COLEGIO MUNICIPAL PROFESSOR IVO BRAGA - 29023262;83;70;84%;2.4;0%;57%;31%;0%;11%;0%;2.4;2.4;2.4
COLEGIO MUNICIPAL PROFESSOR IVO BRAGA - 29023262;83;70;84%;2.4;0%;57%;31%;0%;11%;0%;2.4;2.4;2.4
ESCOLA MUNICIPAL ANTONIO RIBEIRO DOS SANTOS - 29378842;93;78;84%;3.4;29%;15%;14%;24%;3%;14%;4.4;2.9;2.9
ESCOLA MUNICIPAL ANTONIO RIBEIRO DOS SANTOS - 29378842;93;78;84%;3.4;29%;15%;14%;24%;3%;14%;4.4;2.9;2.9
ESCOLA MUNICIPAL BARNABE HIPOLITO DA CRUZ - 29023491;25;25;100%;5.6;20%;8%;8%;8%;28%;28%;6.2;5.3;5.3
ESCOLA MUNICIPAL BARNABE HIPOLITO DA CRUZ - 29023491;25;25;100%;5.6;20%;8%;8%;8%;28%;28%;6.2;5.3;5.3
ESCOLA MUNICIPAL CORACAO DE JESUS - 29024269;21;19;90%;6.3;11%;0%;0%;0%;89%;0%;0.9;8.9;8.9
ESCOLA MUNICIPAL CORACAO DE JESUS - 29024269;21;19;90%;6.3;11%;0%;0%;0%;89%;0%;0.9;8.9;8.9
ESCOLA MUNICIPAL EURICO GASPAR DUTRA - 29023769;4;4;100%;4.7;0%;0%;0%;100%;0%;0%;4.1;3.3;6.6
ESCOLA MUNICIPAL EURICO GASPAR DUTRA - 29023769;4;4;100%;4.7;0%;0%;0%;100%;0%;0%;4.1;3.3;6.6
ESCOLA MUNICIPAL JOAO FRANCISCO FELIX - 29023289;13;13;100%;2.7;46%;0%;8%;38%;8%;0%;2.9;2.0;3.3
ESCOLA MUNICIPAL JOAO FRANCISCO FELIX - 29023289;13;13;100%;2.7;46%;0%;8%;38%;8%;0%;2.9;2.0;3.3
ESCOLA MUNICIPAL JOSE CARLOS ALELUIA - 29024404;51;46;90%;4.4;13%;26%;15%;11%;11%;24%;4.2;4.5;4.6
ESCOLA MUNICIPAL JOSE CARLOS ALELUIA - 29024404;51;46;90%;4.4;13%;26%;15%;11%;11%;24%;4.2;4.5;4.6
ESCOLA MUNICIPAL LIBERATO FELIX MARTINS - 29361591;7;7;100%;3.8;43%;0%;0%;0%;57%;0%;1.9;3.8;5.7
ESCOLA MUNICIPAL LIBERATO FELIX MARTINS - 29361591;7;7;100%;3.8;43%;0%;0%;0%;57%;0%;1.9;3.8;5.7
ESCOLA MUNICIPAL OTAVIANO MATOS - 29023955;20;18;90%;3.8;0%;44%;22%;6%;17%;11%;3.7;3.6;4.1
ESCOLA MUNICIPAL OTAVIANO MATOS - 29023955;20;18;90%;3.8;0%;44%;22%;6%;17%;11%;3.7;3.6;4.1
ESCOLA MUNICIPAL PADRE ADOLFO ANTUNES - 29023637;18;18;100%;4.7;11%;17%;17%;6%;44%;6%;4.7;4.4;5.0
ESCOLA MUNICIPAL PADRE ADOLFO ANTUNES - 29023637;18;18;100%;4.7;11%;17%;17%;6%;44%;6%;4.7;4.4;5.0
ESCOLA MUNICIPAL PROFESSORA MARIA JULIA - 29023408;7;7;100%;2.6;29%;29%;14%;14%;14%;0%;3.0;2.6;2.2
ESCOLA MUNICIPAL PROFESSORA MARIA JULIA - 29023408;7;7;100%;2.6;29%;29%;14%;14%;14%;0%;3.0;2.6;2.2
ESCOLA MUNICIPAL SANTA RITA - 29361214;15;14;93%;6.2;0%;0%;29%;21%;29%;21%;6.9;5.2;6.6
ESCOLA MUNICIPAL SANTA RITA - 29361214;15;14;93%;6.2;0%;0%;29%;21%;29%;21%;6.9;5.2;6.6
