Rede;Ano Escolar;Componente Curricular;Escola;Código da escola;Turma;Previstos;Avaliados;% Participação;Nota média;Inadequado;Insuficiente;Insatisfatório;Intermediário;Satisfatório;Avançado;Questão 1 - Aspecto 1;Questão 1 - Aspecto 2;Questão 1 - Aspecto 3
MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 9º ANO;ESCRITA;ESCOLA MUNICIPAL SANTA RITA - 29361214;29361214;9 ANO;15;14;93%;6.2;0%;0%;29%;21%;29%;21%;6.9;5.2;6.6
MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 9º ANO;ESCRITA;ESCOLA MUNICIPAL OTAVIANO MATOS - 29023955;29023955;9 ANO;20;18;90%;3.8;0%;44%;22%;6%;17%;11%;3.7;3.6;4.1
MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 9º ANO;ESCRITA;ESCOLA MUNICIPAL JOSE CARLOS ALELUIA - 29024404;29024404;9 ANO A;27;25;93%;5.9;0%;28%;12%;8%;12%;40%;5.5;6.1;6.1
MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 9º ANO;ESCRITA;ESCOLA MUNICIPAL JOSE CARLOS ALELUIA - 29024404;29024404;9 ANO B;24;21;88%;2.7;29%;24%;19%;14%;10%;5%;2.7;2.5;2.9
MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 9º ANO;ESCRITA;ESCOLA MUNICIPAL LIBERATO FELIX MARTINS - 29361591;29361591;9 ano;7;7;100%;3.8;43%;0%;0%;0%;57%;0%;1.9;3.8;5.7
MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 9º ANO;ESCRITA;COLEGIO MUNICIPAL DOUTOR SCIPIAO TORRES - 29023270;29023270;9º  ANO B 2026;25;20;80%;5.6;10%;10%;20%;10%;20%;30%;5.6;5.5;5.7
MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 9º ANO;ESCRITA;ESCOLA MUNICIPAL CORACAO DE JESUS - 29024269;29024269;9º ANO;21;19;90%;6.3;11%;0%;0%;0%;89%;0%;0.9;8.9;8.9
MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 9º ANO;ESCRITA;ESCOLA MUNICIPAL BARNABE HIPOLITO DA CRUZ - 29023491;29023491;9º ANO;25;25;100%;5.6;20%;8%;8%;8%;28%;28%;6.2;5.3;5.3
MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 9º ANO;ESCRITA;ESCOLA MUNICIPAL PROFESSORA MARIA JULIA - 29023408;29023408;9º ANO;7;7;100%;2.6;29%;29%;14%;14%;14%;0%;3.0;2.6;2.2
MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 9º ANO;ESCRITA;ESCOLA MUNICIPAL JOAO FRANCISCO FELIX - 29023289;29023289;9º ANO 2026;13;13;100%;2.7;46%;0%;8%;38%;8%;0%;2.9;2.0;3.3
MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 9º ANO;ESCRITA;ESCOLA MUNICIPAL ANTONIO RIBEIRO DOS SANTOS - 29378842;29378842;9º ANO A;30;29;97%;4.1;17%;24%;10%;24%;3%;21%;4.8;3.7;3.6
MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 9º ANO;ESCRITA;COLEGIO MUNICIPAL DOUTOR SCIPIAO TORRES - 29023270;29023270;9º ANO A 2026;34;6;18%;7.0;0%;17%;0%;17%;17%;50%;7.4;6.3;7.4
MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 9º ANO;ESCRITA;COLEGIO MUNICIPAL PROFESSOR IVO BRAGA - 29023262;29023262;9º ANO A MATUTINO 2026;28;27;96%;2.0;0%;67%;26%;0%;7%;0%;2.0;2.0;2.0
MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 9º ANO;ESCRITA;ESCOLA MUNICIPAL ANTONIO RIBEIRO DOS SANTOS - 29378842;29378842;9º ANO B;28;24;86%;3.3;25%;8%;25%;33%;4%;4%;4.6;2.6;2.6
MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 9º ANO;ESCRITA;COLEGIO MUNICIPAL PROFESSOR IVO BRAGA - 29023262;29023262;9º ANO B MATUTINO 2026;24;19;79%;2.0;0%;63%;32%;0%;5%;0%;2.0;2.0;2.0
MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 9º ANO;ESCRITA;ESCOLA MUNICIPAL ANTONIO RIBEIRO DOS SANTOS - 29378842;29378842;9º ANO C;35;25;71%;2.8;48%;12%;8%;16%;0%;16%;3.8;2.3;2.3
MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 9º ANO;ESCRITA;COLEGIO MUNICIPAL DOUTOR SCIPIAO TORRES - 29023270;29023270;9º ANO C 2026;26;21;81%;3.6;29%;10%;14%;10%;38%;0%;3.7;3.6;3.7
MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 9º ANO;ESCRITA;COLEGIO MUNICIPAL PROFESSOR IVO BRAGA - 29023262;29023262;9º ANO C VESPERTINO 2026;31;24;77%;3.0;0%;42%;38%;0%;21%;0%;3.0;3.0;3.0
MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 9º ANO;ESCRITA;COLEGIO MUNICIPAL DOUTOR SCIPIAO TORRES - 29023270;29023270;9º ANO D 2026;33;30;91%;5.1;3%;20%;30%;7%;13%;27%;5.1;5.2;5.0
MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 9º ANO;ESCRITA;ESCOLA MUNICIPAL EURICO GASPAR DUTRA - 29023769;29023769;9º ano;4;4;100%;4.7;0%;0%;0%;100%;0%;0%;4.1;3.3;6.6
MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 9º ANO;ESCRITA;ESCOLA MUNICIPAL PADRE ADOLFO ANTUNES - 29023637;29023637;NONO ANO;18;18;100%;4.7;11%;17%;17%;6%;44%;6%;4.7;4.4;5.0
