Rede;Etapa;Componente Curricular;Escola;Previstos;Avaliados;% Participação;Acerto Total;Defasagem;Aprendizado intermediário;Aprendizado adequado;H 01 (%);H 02 (%);H 03 (%);H 04 (%);H 05 (%);H 06 (%);H 07 (%);H 08 (%);H 09 (%);H 10 (%);H 11 (%);H 12 (%);H 13 (%);H 14 (%);H 15 (%);H 16 (%);H 17 (%)
PÚBLICA;ENSINO FUNDAMENTAL DE 9 ANOS - 9º ANO;LÍNGUA PORTUGUESA;COLEGIO MUNICIPAL DOUTOR SCIPIAO TORRES - 29023270;118;107;91%;53%;53%;30%;17%;77;69;69;51;62;46;50;62;39;59;32;57;50;60;35;60;35
MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 9º ANO;LÍNGUA PORTUGUESA;COLEGIO MUNICIPAL DOUTOR SCIPIAO TORRES - 29023270;118;107;91%;53%;53%;30%;17%;77;69;69;51;62;46;50;62;39;59;32;57;50;60;35;60;35
PÚBLICA;ENSINO FUNDAMENTAL DE 9 ANOS - 9º ANO;LÍNGUA PORTUGUESA;COLEGIO MUNICIPAL PROFESSOR IVO BRAGA - 29023262;83;70;84%;54%;49%;31%;20%;66;76;56;56;61;46;56;62;42;60;46;33;46;51;39;89;36
MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 9º ANO;LÍNGUA PORTUGUESA;COLEGIO MUNICIPAL PROFESSOR IVO BRAGA - 29023262;83;70;84%;54%;49%;31%;20%;66;76;56;56;61;46;56;62;42;60;46;33;46;51;39;89;36
PÚBLICA;ENSINO FUNDAMENTAL DE 9 ANOS - 9º ANO;LÍNGUA PORTUGUESA;ESCOLA MUNICIPAL ANTONIO RIBEIRO DOS SANTOS - 29378842;93;82;88%;51%;54%;29%;17%;72;68;59;65;54;45;53;45;55;54;39;41;49;66;43;65;24
MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 9º ANO;LÍNGUA PORTUGUESA;ESCOLA MUNICIPAL ANTONIO RIBEIRO DOS SANTOS - 29378842;93;82;88%;51%;54%;29%;17%;72;68;59;65;54;45;53;45;55;54;39;41;49;66;43;65;24
PÚBLICA;ENSINO FUNDAMENTAL DE 9 ANOS - 9º ANO;LÍNGUA PORTUGUESA;ESCOLA MUNICIPAL BARNABE HIPOLITO DA CRUZ - 29023491;25;25;100%;49%;60%;40%;0%;72;70;72;32;54;38;42;62;34;48;36;28;36;52;38;84;40
MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 9º ANO;LÍNGUA PORTUGUESA;ESCOLA MUNICIPAL BARNABE HIPOLITO DA CRUZ - 29023491;25;25;100%;49%;60%;40%;0%;72;70;72;32;54;38;42;62;34;48;36;28;36;52;38;84;40
PÚBLICA;ENSINO FUNDAMENTAL DE 9 ANOS - 9º ANO;LÍNGUA PORTUGUESA;ESCOLA MUNICIPAL CORACAO DE JESUS - 29024269;21;18;86%;95%;0%;0%;100%;100;100;100;100;94;94;94;92;94;94;94;94;100;89;81;94;100
MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 9º ANO;LÍNGUA PORTUGUESA;ESCOLA MUNICIPAL CORACAO DE JESUS - 29024269;21;18;86%;95%;0%;0%;100%;100;100;100;100;94;94;94;92;94;94;94;94;100;89;81;94;100
