Rede;Ano Escolar;Componente Curricular;Escola;Turma;Previstos;Avaliados;% Participação;Acerto Total;Defasagem;Aprendizado intermediário;Aprendizado adequado;H 01 (%);H 02 (%);H 03 (%);H 04 (%);H 05 (%);H 06 (%);H 07 (%);H 08 (%);H 09 (%);H 10 (%);H 11 (%);H 12 (%);H 13 (%);H 14 (%);H 15 (%);H 16 (%);H 17 (%)
MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 9º ANO;LÍNGUA PORTUGUESA;ESCOLA MUNICIPAL SANTA RITA - 29361214;9 ANO;15;15;100%;56%;27%;73%;0%;93;80;60;73;60;47;40;60;50;60;53;60;53;73;33;73;30
MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 9º ANO;LÍNGUA PORTUGUESA;ESCOLA MUNICIPAL OTAVIANO MATOS - 29023955;9 ANO;20;19;95%;61%;32%;32%;37%;79;82;68;95;61;53;39;74;63;68;68;11;63;79;63;79;16
MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 9º ANO;LÍNGUA PORTUGUESA;ESCOLA MUNICIPAL JOSE CARLOS ALELUIA - 29024404;9 ANO A;27;25;93%;68%;24%;36%;40%;88;82;80;76;80;52;74;66;58;78;72;68;48;64;46;84;52
MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 9º ANO;LÍNGUA PORTUGUESA;ESCOLA MUNICIPAL JOSE CARLOS ALELUIA - 29024404;9 ANO B;24;22;92%;41%;82%;18%;0%;68;68;45;50;66;36;32;36;36;45;27;23;41;36;18;55;18
MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 9º ANO;LÍNGUA PORTUGUESA;ESCOLA MUNICIPAL LIBERATO FELIX MARTINS - 29361591;9 ano;7;7;100%;40%;86%;14%;0%;57;57;29;14;14;57;50;50;50;29;29;43;43;14;29;57;36
MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 9º ANO;LÍNGUA PORTUGUESA;COLEGIO MUNICIPAL DOUTOR SCIPIAO TORRES - 29023270;9º  ANO B 2026;25;23;92%;51%;52%;30%;17%;61;70;65;57;61;50;41;57;41;50;43;52;48;65;39;48;33
MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 9º ANO;LÍNGUA PORTUGUESA;ESCOLA MUNICIPAL CORACAO DE JESUS - 29024269;9º ANO;21;18;86%;95%;0%;0%;100%;100;100;100;100;94;94;94;92;94;94;94;94;100;89;81;94;100
MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 9º ANO;LÍNGUA PORTUGUESA;ESCOLA MUNICIPAL BARNABE HIPOLITO DA CRUZ - 29023491;9º ANO;25;25;100%;49%;60%;40%;0%;72;70;72;32;54;38;42;62;34;48;36;28;36;52;38;84;40
MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 9º ANO;LÍNGUA PORTUGUESA;ESCOLA MUNICIPAL PROFESSORA MARIA JULIA - 29023408;9º ANO;7;7;100%;53%;29%;71%;0%;86;71;86;86;50;43;86;57;29;71;43;57;0;86;7;57;21
MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 9º ANO;LÍNGUA PORTUGUESA;ESCOLA MUNICIPAL JOAO FRANCISCO FELIX - 29023289;9º ANO 2026;13;13;100%;51%;54%;46%;0%;92;69;46;46;62;38;62;54;27;58;54;62;31;92;35;54;23
MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 9º ANO;LÍNGUA PORTUGUESA;ESCOLA MUNICIPAL ANTONIO RIBEIRO DOS SANTOS - 29378842;9º ANO A;30;29;97%;62%;31%;38%;31%;86;83;66;79;57;60;67;50;66;64;72;59;52;93;50;69;21
MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 9º ANO;LÍNGUA PORTUGUESA;COLEGIO MUNICIPAL DOUTOR SCIPIAO TORRES - 29023270;9º ANO A 2026;34;33;97%;61%;27%;42%;30%;79;62;70;64;68;62;64;62;39;79;30;79;73;82;39;73;48
MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 9º ANO;LÍNGUA PORTUGUESA;COLEGIO MUNICIPAL PROFESSOR IVO BRAGA - 29023262;9º ANO A MATUTINO 2026;28;25;89%;51%;56%;36%;8%;72;72;56;56;58;42;44;68;32;62;44;36;40;48;28;88;40
MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 9º ANO;LÍNGUA PORTUGUESA;ESCOLA MUNICIPAL ANTONIO RIBEIRO DOS SANTOS - 29378842;9º ANO B;28;26;93%;53%;46%;38%;15%;88;73;65;77;58;46;50;50;54;56;19;35;54;50;38;69;35
MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 9º ANO;LÍNGUA PORTUGUESA;COLEGIO MUNICIPAL PROFESSOR IVO BRAGA - 29023262;9º ANO B MATUTINO 2026;24;18;75%;52%;44%;28%;28%;50;78;50;44;61;44;50;53;44;64;50;28;44;50;42;83;39
MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 9º ANO;LÍNGUA PORTUGUESA;ESCOLA MUNICIPAL ANTONIO RIBEIRO DOS SANTOS - 29378842;9º ANO C;35;27;77%;39%;85%;11%;4%;41;48;44;37;46;28;41;35;46;41;22;30;41;52;41;56;17
MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 9º ANO;LÍNGUA PORTUGUESA;COLEGIO MUNICIPAL DOUTOR SCIPIAO TORRES - 29023270;9º ANO C 2026;26;21;81%;44%;71%;24%;5%;81;69;57;33;60;33;43;55;36;50;24;48;29;43;33;57;12
MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 9º ANO;LÍNGUA PORTUGUESA;COLEGIO MUNICIPAL PROFESSOR IVO BRAGA - 29023262;9º ANO C VESPERTINO 2026;31;27;87%;57%;44%;30%;26%;70;80;59;63;63;50;70;63;50;56;44;33;52;56;48;93;31
MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 9º ANO;LÍNGUA PORTUGUESA;COLEGIO MUNICIPAL DOUTOR SCIPIAO TORRES - 29023270;9º ANO D 2026;33;30;91%;50%;70%;20%;10%;83;75;80;47;58;35;47;72;40;52;30;43;43;43;27;57;37
MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 9º ANO;LÍNGUA PORTUGUESA;ESCOLA MUNICIPAL EURICO GASPAR DUTRA - 29023769;9º ano;4;4;100%;49%;75%;25%;0%;50;88;100;75;38;50;38;63;38;75;25;25;0;50;25;75;25
MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 9º ANO;LÍNGUA PORTUGUESA;ESCOLA MUNICIPAL PADRE ADOLFO ANTUNES - 29023637;NONO ANO;18;18;100%;56%;44%;39%;17%;67;81;72;50;72;53;50;69;31;56;78;67;56;67;22;72;36
