Rede;Etapa;Componente Curricular;Escola;Previstos;Avaliados;% Participação;Acerto Total;Defasagem;Aprendizado intermediário;Aprendizado adequado;H 01 (%);H 02 (%);H 03 (%);H 04 (%);H 05 (%);H 06 (%);H 07 (%);H 08 (%);H 09 (%);H 10 (%);H 11 (%);H 12 (%);H 13 (%);H 14 (%);H 15 (%);H 16 (%);H 17 (%);H 18 (%);H 19 (%)
PÚBLICA;ENSINO FUNDAMENTAL DE 9 ANOS - 9º ANO;MATEMÁTICA;COLEGIO MUNICIPAL DOUTOR SCIPIAO TORRES - 29023270;118;111;94%;31%;77%;20%;3%;41;39;41;23;33;16;9;31;42;34;25;20;38;67;10;41;22;30;37
MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 9º ANO;MATEMÁTICA;COLEGIO MUNICIPAL DOUTOR SCIPIAO TORRES - 29023270;118;111;94%;31%;77%;20%;3%;41;39;41;23;33;16;9;31;42;34;25;20;38;67;10;41;22;30;37
PÚBLICA;ENSINO FUNDAMENTAL DE 9 ANOS - 9º ANO;MATEMÁTICA;COLEGIO MUNICIPAL PROFESSOR IVO BRAGA - 29023262;83;74;89%;31%;76%;20%;4%;36;50;41;30;36;19;19;28;31;40;15;23;31;62;14;28;23;30;40
MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 9º ANO;MATEMÁTICA;COLEGIO MUNICIPAL PROFESSOR IVO BRAGA - 29023262;83;74;89%;31%;76%;20%;4%;36;50;41;30;36;19;19;28;31;40;15;23;31;62;14;28;23;30;40
PÚBLICA;ENSINO FUNDAMENTAL DE 9 ANOS - 9º ANO;MATEMÁTICA;ESCOLA MUNICIPAL ANTONIO RIBEIRO DOS SANTOS - 29378842;93;88;95%;51%;41%;26%;33%;56;56;50;66;38;42;15;51;64;51;31;52;51;50;41;56;49;58;74
MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 9º ANO;MATEMÁTICA;ESCOLA MUNICIPAL ANTONIO RIBEIRO DOS SANTOS - 29378842;93;88;95%;51%;41%;26%;33%;56;56;50;66;38;42;15;51;64;51;31;52;51;50;41;56;49;58;74
PÚBLICA;ENSINO FUNDAMENTAL DE 9 ANOS - 9º ANO;MATEMÁTICA;ESCOLA MUNICIPAL BARNABE HIPOLITO DA CRUZ - 29023491;25;25;100%;35%;76%;24%;0%;36;72;32;52;24;18;4;50;36;24;24;24;60;48;30;40;36;28;36
MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 9º ANO;MATEMÁTICA;ESCOLA MUNICIPAL BARNABE HIPOLITO DA CRUZ - 29023491;25;25;100%;35%;76%;24%;0%;36;72;32;52;24;18;4;50;36;24;24;24;60;48;30;40;36;28;36
PÚBLICA;ENSINO FUNDAMENTAL DE 9 ANOS - 9º ANO;MATEMÁTICA;ESCOLA MUNICIPAL CORACAO DE JESUS - 29024269;21;21;100%;55%;14%;57%;29%;33;52;62;100;81;52;76;45;76;45;14;10;52;71;12;69;86;55;76
MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 9º ANO;MATEMÁTICA;ESCOLA MUNICIPAL CORACAO DE JESUS - 29024269;21;21;100%;55%;14%;57%;29%;33;52;62;100;81;52;76;45;76;45;14;10;52;71;12;69;86;55;76
PÚBLICA;ENSINO FUNDAMENTAL DE 9 ANOS - 9º ANO;MATEMÁTICA;ESCOLA MUNICIPAL EURICO GASPAR DUTRA - 29023769;4;4;100%;43%;50%;50%;0%;50;75;50;0;75;50;0;0;50;63;0;75;25;50;13;75;0;50;88
MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 9º ANO;MATEMÁTICA;ESCOLA MUNICIPAL EURICO GASPAR DUTRA - 29023769;4;4;100%;43%;50%;50%;0%;50;75;50;0;75;50;0;0;50;63;0;75;25;50;13;75;0;50;88
PÚBLICA;ENSINO FUNDAMENTAL DE 9 ANOS - 9º ANO;MATEMÁTICA;ESCOLA MUNICIPAL JOAO FRANCISCO FELIX - 29023289;13;13;100%;36%;62%;38%;0%;62;23;77;31;46;42;8;38;38;42;8;15;38;69;8;35;15;54;35
MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 9º ANO;MATEMÁTICA;ESCOLA MUNICIPAL JOAO FRANCISCO FELIX - 29023289;13;13;100%;36%;62%;38%;0%;62;23;77;31;46;42;8;38;38;42;8;15;38;69;8;35;15;54;35
PÚBLICA;ENSINO FUNDAMENTAL DE 9 ANOS - 9º ANO;MATEMÁTICA;ESCOLA MUNICIPAL JOSE CARLOS ALELUIA - 29024404;51;49;96%;34%;65%;33%;2%;51;37;33;41;39;22;4;32;47;45;22;39;22;71;20;31;24;27;44
MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 9º ANO;MATEMÁTICA;ESCOLA MUNICIPAL JOSE CARLOS ALELUIA - 29024404;51;49;96%;34%;65%;33%;2%;51;37;33;41;39;22;4;32;47;45;22;39;22;71;20;31;24;27;44
PÚBLICA;ENSINO FUNDAMENTAL DE 9 ANOS - 9º ANO;MATEMÁTICA;ESCOLA MUNICIPAL LIBERATO FELIX MARTINS - 29361591;7;7;100%;47%;43%;14%;43%;29;29;71;14;57;79;57;43;43;64;43;14;57;71;43;50;0;43;43
