Rede;Ano Escolar;Componente Curricular;Escola;Turma;Previstos;Avaliados;% Participação;Acerto Total;Defasagem;Aprendizado intermediário;Aprendizado adequado;H 01 (%);H 02 (%);H 03 (%);H 04 (%);H 05 (%);H 06 (%);H 07 (%);H 08 (%);H 09 (%);H 10 (%);H 11 (%);H 12 (%);H 13 (%);H 14 (%);H 15 (%);H 16 (%);H 17 (%);H 18 (%);H 19 (%)
MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 9º ANO;MATEMÁTICA;ESCOLA MUNICIPAL SANTA RITA - 29361214;9 ANO;15;15;100%;54%;13%;67%;20%;93;93;87;60;53;20;67;13;67;60;7;13;27;93;67;60;0;70;77
MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 9º ANO;MATEMÁTICA;ESCOLA MUNICIPAL OTAVIANO MATOS - 29023955;9 ANO;20;19;95%;45%;53%;16%;32%;58;58;53;47;47;34;32;50;47;39;58;26;47;47;26;53;42;53;53
MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 9º ANO;MATEMÁTICA;ESCOLA MUNICIPAL JOSE CARLOS ALELUIA - 29024404;9 ANO A;27;27;100%;40%;41%;56%;4%;74;48;22;48;56;20;7;33;59;56;33;59;30;81;13;35;15;33;63
MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 9º ANO;MATEMÁTICA;ESCOLA MUNICIPAL JOSE CARLOS ALELUIA - 29024404;9 ANO B;24;22;92%;26%;95%;5%;0%;23;23;45;32;18;25;0;30;32;32;9;14;14;59;30;25;36;18;20
MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 9º ANO;MATEMÁTICA;ESCOLA MUNICIPAL LIBERATO FELIX MARTINS - 29361591;9 ano;7;7;100%;47%;43%;14%;43%;29;29;71;14;57;79;57;43;43;64;43;14;57;71;43;50;0;43;43
MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 9º ANO;MATEMÁTICA;COLEGIO MUNICIPAL DOUTOR SCIPIAO TORRES - 29023270;9º  ANO B 2026;25;23;92%;25%;87%;13%;0%;39;22;39;26;17;11;9;22;22;33;13;35;26;65;13;24;0;33;33
MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 9º ANO;MATEMÁTICA;ESCOLA MUNICIPAL CORACAO DE JESUS - 29024269;9º ANO;21;21;100%;55%;14%;57%;29%;33;52;62;100;81;52;76;45;76;45;14;10;52;71;12;69;86;55;76
MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 9º ANO;MATEMÁTICA;ESCOLA MUNICIPAL BARNABE HIPOLITO DA CRUZ - 29023491;9º ANO;25;25;100%;35%;76%;24%;0%;36;72;32;52;24;18;4;50;36;24;24;24;60;48;30;40;36;28;36
MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 9º ANO;MATEMÁTICA;ESCOLA MUNICIPAL PROFESSORA MARIA JULIA - 29023408;9º ANO;7;7;100%;60%;29%;0%;71%;86;86;86;100;57;93;86;7;86;36;14;100;71;29;79;50;0;71;50
MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 9º ANO;MATEMÁTICA;ESCOLA MUNICIPAL JOAO FRANCISCO FELIX - 29023289;9º ANO 2026;13;13;100%;36%;62%;38%;0%;62;23;77;31;46;42;8;38;38;42;8;15;38;69;8;35;15;54;35
